,City,Average_price,State
0,"Alameda, CA",574.3299902,CA
1,"American Canyon, CA",284.4206962,CA
2,"Antioch, CA",237.7732742,CA
3,"Belmont, CA",918.6369606,CA
4,"Benicia, CA",336.4235426,CA
5,"Berkeley, CA",690.9238017,CA
6,"Brentwood, CA",251.9083412,CA
7,"Burlingame, CA",1145.094973,CA
8,"Campbell, CA",811.0249475,CA
9,"Concord, CA",377.6080985,CA
10,"Cupertino, CA",1167.892569,CA
11,"Daly City, CA",656.4771913,CA
12,"Danville, CA",490.517462,CA
13,"Dublin, CA",487.8824519,CA
14,"Fairfield, CA",240.499809,CA
15,"Foster City, CA",888.3796349,CA
16,"Fremont, CA",648.1428098,CA
17,"Gilroy, CA",352.3885397,CA
18,"Hayward, CA",435.7512131,CA
19,"Hercules, CA",328.2794639,CA
20,"Lafayette, CA",647.3745875,CA
21,"Livermore, CA",463.6116418,CA
22,"Los Altos, CA",1347.298813,CA
23,"Los Gatos, CA",828.954005,CA
24,"Martinez, CA",366.6254898,CA
25,"Menlo Park, CA",1301.411559,CA
26,"Mill Valley, CA",779.0210689,CA
27,"Milpitas, CA",678.9050058,CA
28,"Morgan Hill, CA",426.1389433,CA
29,"Mountain View, CA",1090.574178,CA
30,"Napa, CA",387.2108233,CA
31,"Newark, CA",628.5185485,CA
32,"Novato, CA",457.2605007,CA
33,"Oakland, CA",487.5392728,CA
34,"Oakley, CA",245.7108786,CA
35,"Orinda, CA",510.2959875,CA
36,"Pacifica, CA",702.4744851,CA
37,"Palo Alto, CA",1502.133603,CA
38,"Pinole, CA",346.3864961,CA
39,"Pittsburg, CA",266.0971885,CA
40,"Pleasant Hill, CA",440.2473169,CA
41,"Pleasanton, CA",558.1022272,CA
42,"Redwood City, CA",925.3250824,CA
43,"Richmond, CA",377.24747,CA
44,"Rohnert Park, CA",352.3057155,CA
45,"San Bruno, CA",737.5417187,CA
46,"San Carlos, CA",1046.027046,CA
47,"San Francisco, CA",993.8790177,CA
48,"San Jose, CA",656.6548316,CA
49,"San Leandro, CA",464.8410375,CA
50,"San Mateo, CA",922.5806282,CA
51,"San+Pablo, CA",325.8712507,CA
52,"San+Rafael, CA",540.2269807,CA
53,"San+Ramon, CA",482.2197065,CA
54,"Santa+Clara, CA",878.6565262,CA
55,"Santa+Rosa, CA",388.6528566,CA
56,"Saratoga, CA",1060.198951,CA
57,"Sonoma, CA",525.3749646,CA
58,"South+San+Francisco, CA",715.9307466,CA
59,"Suisun City, CA",239.2162784,CA
60,"Sunnyvale, CA",1098.385643,CA
61,"Union City, CA",530.5934273,CA
62,"Vacaville, CA",253.403344,CA
63,"Vallejo, CA",263.7841607,CA
64,"Walnut Creek, CA",473.8003974,CA
